Date,Temp,Hum,Prec
01/01/2009,16,56,0
02/01/2009,16,68,0
03/01/2009,15,63,0
04/01/2009,13,55,0
05/01/2009,15,55,0
06/01/2009,14,52,0
07/01/2009,13,55,0
08/01/2009,13,51,0
09/01/2009,14,73,0
10/01/2009,13,63,0
11/01/2009,13,67,0
12/01/2009,11,52,0
13/01/2009,12,63,0
14/01/2009,14,52,0
15/01/2009,13,48,0
16/01/2009,14,51,0
17/01/2009,14,67,0
18/01/2009,14,64,0
19/01/2009,16,59,0
20/01/2009,14,48,0
21/01/2009,12,55,0
22/01/2009,13,56,0
23/01/2009,16,73,0
24/01/2009,16,64,0
25/01/2009,16,49,0
26/01/2009,14,51,0
27/01/2009,13,55,0
28/01/2009,12,52,0
29/01/2009,13,52,0
30/01/2009,12,51,0
31/01/2009,10,55,0
01/02/2009,16,42,0
02/02/2009,15,48,0
03/02/2009,13,39,0
04/02/2009,13,37,0
05/02/2009,13,39,0
06/02/2009,13,55,0
07/02/2009,12,49,0
08/02/2009,15,68,0
09/02/2009,13,72,0
10/02/2009,14,68,0
11/02/2009,16,68,0
12/02/2009,15,63,0
13/02/2009,13,49,0
14/02/2009,15,55,0
15/02/2009,15,51,0
16/02/2009,14,51,0
17/02/2009,14,51,0
18/02/2009,14,45,0
19/02/2009,13,51,0
20/02/2009,12,51,0
21/02/2009,13,56,0
22/02/2009,15,49,0
23/02/2009,16,68,0
24/02/2009,15,64,0
25/02/2009,15,68,0
26/02/2009,13,56,0
27/02/2009,13,72,0
28/02/2009,13,59,0
01/03/2009,12,55,0
02/03/2009,11,59,0
03/03/2009,11,59,0
04/03/2009,14,56,0
05/03/2009,14,55,0
06/03/2009,15,55,0
07/03/2009,14,68,0
08/03/2009,14,77,0
09/03/2009,15,77,0
10/03/2009,15,73,0
11/03/2009,16,47,0
12/03/2009,18,38,0
13/03/2009,16,26,0
14/03/2009,14,68,0
15/03/2009,16,45,0
16/03/2009,15,68,0
17/03/2009,16,73,0
18/03/2009,15,73,0
19/03/2009,16,55,0
20/03/2009,14,64,0
21/03/2009,15,68,0
22/03/2009,14,59,0
23/03/2009,13,56,0
24/03/2009,13,63,0
25/03/2009,12,56,0
26/03/2009,12,64,0
27/03/2009,13,59,0
28/03/2009,13,59,0
29/03/2009,14,51,0
30/03/2009,13,48,0
31/03/2009,13,59,0
01/04/2009,14,63,0
02/04/2009,14,56,0
03/04/2009,16,40,0
04/04/2009,16,59,0
05/04/2009,16,52,0
06/04/2009,16,49,0
07/04/2009,15,52,0
08/04/2009,15,49,0
09/04/2009,14,49,0
10/04/2009,16,52,0
11/04/2009,15,60,0
12/04/2009,15,68,0
13/04/2009,16,52,0
14/04/2009,14,42,0
15/04/2009,15,49,0
16/04/2009,15,52,0
17/04/2009,14,59,0
18/04/2009,16,46,0
19/04/2009,15,60,0
20/04/2009,17,56,0
21/04/2009,17,60,0
22/04/2009,16,43,0
23/04/2009,13,34,0
24/04/2009,15,55,0
25/04/2009,15,46,0
26/04/2009,15,55,0
27/04/2009,14,45,0
28/04/2009,14,49,0
29/04/2009,16,49,0
30/04/2009,15,40,0
01/05/2009,16,59,0
02/05/2009,16,56,0
03/05/2009,17,49,0
04/05/2009,16,53,0
05/05/2009,17,21,0
06/05/2009,17,29,0
07/05/2009,16,52,0
08/05/2009,16,64,0
09/05/2009,16,46,0
10/05/2009,15,52,0
11/05/2009,16,52,0
12/05/2009,16,52,0
13/05/2009,15,52,0
14/05/2009,17,52,0
15/05/2009,17,49,0
16/05/2009,16,50,0
17/05/2009,16,52,0
18/05/2009,16,46,0
19/05/2009,16,49,0
20/05/2009,16,52,0
21/05/2009,15,49,0
22/05/2009,13,49,0
23/05/2009,16,38,0
24/05/2009,16,53,0
25/05/2009,15,56,0
26/05/2009,17,52,0
27/05/2009,17,46,0
28/05/2009,16,34,0
29/05/2009,20,30,0
30/05/2009,18,61,0
31/05/2009,17,64,0
01/06/2009,16,53,0
02/06/2009,17,60,0
03/06/2009,17,56,0
04/06/2009,16,57,0
05/06/2009,17,46,0
06/06/2009,17,56,0
07/06/2009,16,57,0
08/06/2009,16,53,0
09/06/2009,17,61,0
10/06/2009,18,57,0
11/06/2009,20,47,0
12/06/2009,19,19,0
13/06/2009,20,10,0
14/06/2009,19,61,0
15/06/2009,17,50,0
16/06/2009,17,64,0
17/06/2009,19,69,0
18/06/2009,20,69,0
19/06/2009,19,69,0
20/06/2009,19,65,0
21/06/2009,18,50,0
22/06/2009,18,65,0
23/06/2009,19,61,0
24/06/2009,18,61,0
25/06/2009,19,65,0
26/06/2009,18,61,0
27/06/2009,21,57,0
28/06/2009,20,74,0
29/06/2009,20,57,0
30/06/2009,20,69,0
01/07/2009,20,65,0
02/07/2009,21,65,0
03/07/2009,20,57,0
04/07/2009,22,51,0
05/07/2009,21,51,0
06/07/2009,20,54,0
07/07/2009,21,65,0
08/07/2009,21,57,0
09/07/2009,21,61,0
10/07/2009,21,54,0
11/07/2009,21,54,0
12/07/2009,19,51,0
13/07/2009,21,65,0
14/07/2009,21,44,0
15/07/2009,20,50,0
16/07/2009,20,47,0
17/07/2009,21,60,0
18/07/2009,21,53,0
19/07/2009,20,57,0
20/07/2009,20,54,0
21/07/2009,21,57,0
22/07/2009,20,61,0
23/07/2009,22,65,0
24/07/2009,21,57,0
25/07/2009,22,54,0
26/07/2009,21,51,0
27/07/2009,21,29,0
28/07/2009,21,54,0
29/07/2009,23,15,0
30/07/2009,24,14,0
31/07/2009,25,16,0
01/08/2009,23,21,0
02/08/2009,20,60,0
03/08/2009,20,53,0
04/08/2009,20,53,0
05/08/2009,20,61,0
06/08/2009,22,61,0
07/08/2009,22,61,0
08/08/2009,21,57,0
09/08/2009,19,57,0
10/08/2009,21,57,0
11/08/2009,21,54,0
12/08/2009,20,57,0
13/08/2009,20,57,0
14/08/2009,20,53,0
15/08/2009,21,60,0
16/08/2009,21,50,0
17/08/2009,21,50,0
18/08/2009,21,51,0
19/08/2009,21,34,0
20/08/2009,21,34,0
21/08/2009,21,50,0
22/08/2009,20,57,0
23/08/2009,22,57,0
24/08/2009,20,54,0
25/08/2009,20,57,0
26/08/2009,21,51,0
27/08/2009,22,57,0
28/08/2009,21,54,0
29/08/2009,19,60,0
30/08/2009,20,53,0
31/08/2009,19,53,0
01/09/2009,21,47,0
02/09/2009,20,57,0
03/09/2009,20,57,0
04/09/2009,21,65,0
05/09/2009,21,57,0
06/09/2009,21,47,0
07/09/2009,21,65,0
08/09/2009,21,53,0
09/09/2009,21,64,0
10/09/2009,22,61,0
11/09/2009,22,61,0
12/09/2009,21,61,0
13/09/2009,20,57,0
14/09/2009,20,60,0
15/09/2009,19,50,0
16/09/2009,18,50,0
17/09/2009,18,47,0
18/09/2009,19,53,0
19/09/2009,19,65,0
20/09/2009,18,57,0
21/09/2009,20,53,0
22/09/2009,20,53,0
23/09/2009,19,57,0
24/09/2009,19,57,0
25/09/2009,19,50,0
26/09/2009,20,56,0
27/09/2009,20,50,0
28/09/2009,19,47,0
29/09/2009,18,49,0
30/09/2009,19,60,0
01/10/2009,21,73,0
02/10/2009,22,69,0
03/10/2009,21,73,0
04/10/2009,22,65,0
05/10/2009,22,70,0
06/10/2009,22,69,0
07/10/2009,21,61,0
08/10/2009,20,65,0
09/10/2009,20,61,0
10/10/2009,21,47,0
11/10/2009,21,53,0
12/10/2009,20,53,0
13/10/2009,19,60,0
14/10/2009,19,61,0
15/10/2009,19,61,0
16/10/2009,20,57,0
17/10/2009,20,49,0
18/10/2009,19,52,0
19/10/2009,20,50,0
20/10/2009,19,45,0
21/10/2009,20,46,0
22/10/2009,20,60,0
23/10/2009,22,54,0
24/10/2009,22,57,0
25/10/2009,20,65,0
26/10/2009,21,65,0
27/10/2009,19,54,0
28/10/2009,21,61,0
29/10/2009,20,60,0
30/10/2009,20,60,0
31/10/2009,20,69,0
01/11/2009,21,54,0
02/11/2009,20,69,0
03/11/2009,19,61,0
04/11/2009,18,68,0
05/11/2009,19,60,0
06/11/2009,19,46,0
07/11/2009,19,64,0
08/11/2009,19,56,0
09/11/2009,20,57,0
10/11/2009,19,64,0
11/11/2009,20,53,0
12/11/2009,18,50,0
13/11/2009,17,53,0
14/11/2009,18,57,0
15/11/2009,18,73,0
16/11/2009,15,55,0
17/11/2009,15,52,0
18/11/2009,16,53,0
19/11/2009,17,64,0
20/11/2009,19,64,0
21/11/2009,18,61,0
22/11/2009,18,56,0
23/11/2009,18,46,0
24/11/2009,17,57,0
25/11/2009,18,53,0
26/11/2009,17,61,0
27/11/2009,17,61,0
28/11/2009,17,57,0
29/11/2009,17,43,0
30/11/2009,17,68,0
01/12/2009,18,56,0
02/12/2009,17,56,0
03/12/2009,17,56,0
04/12/2009,17,56,0
05/12/2009,16,49,0
06/12/2009,15,59,0
07/12/2009,17,59,0
08/12/2009,17,64,0
09/12/2009,15,46,0
10/12/2009,16,52,0
11/12/2009,16,52,0
12/12/2009,13,52,0
13/12/2009,13,43,0
14/12/2009,15,72,0
15/12/2009,19,53,0
16/12/2009,17,53,0
17/12/2009,18,77,0
18/12/2009,16,52,0
19/12/2009,16,57,0
20/12/2009,17,64,0
21/12/2009,16,56,0
22/12/2009,15,49,0
23/12/2009,19,64,0
24/12/2009,18,56,0
25/12/2009,17,64,0
26/12/2009,16,60,0
27/12/2009,19,83,0
28/12/2009,20,69,0
29/12/2009,17,52,0
30/12/2009,13,31,0
31/12/2009,13,45,0
