Date,Temp,Hum,Prec,Cases
01/01/2012,14,61,0,
02/01/2012,15,65,0,
03/01/2012,16,65,0,
04/01/2012,17,65,0,
05/01/2012,16,65,0,
06/01/2012,16,67,0,
07/01/2012,16,66,0,
08/01/2012,15,64,0,
09/01/2012,14,66,0,
10/01/2012,15,75,0,
11/01/2012,15,82,0,
12/01/2012,16,75,0,
13/01/2012,16,76,0,
14/01/2012,16,73,0,
15/01/2012,14,74,0,
16/01/2012,13,67,0,
17/01/2012,16,79,0,
18/01/2012,16,66,0,
19/01/2012,16,65,0,
20/01/2012,16,61,0,
21/01/2012,15,68,0,
22/01/2012,16,62,0,
23/01/2012,14,72,0,
24/01/2012,14,75,0,
25/01/2012,13,65,0,
26/01/2012,13,67,0,
27/01/2012,13,78,0,
28/01/2012,14,61,0,
29/01/2012,14,62,0,
30/01/2012,15,65,0,
31/01/2012,14,61,0,
01/02/2012,14,60,0,
02/02/2012,13,66,0,
03/02/2012,14,63,0,
04/02/2012,14,54,0,
05/02/2012,14,61,0,
06/02/2012,14,66,0,
07/02/2012,15,59,0,
08/02/2012,14,63,0,
09/02/2012,15,59,0,
10/02/2012,13,59,0,
11/02/2012,13,62,0,
12/02/2012,12,64,0,
13/02/2012,13,64,0,
14/02/2012,14,53,0,
15/02/2012,12,72,0,
16/02/2012,14,62,0,
17/02/2012,13,60,0,
18/02/2012,14,62,0,
19/02/2012,15,62,0,
20/02/2012,13,68,0,
21/02/2012,14,63,0,
22/02/2012,15,59,0,
23/02/2012,15,58,0,
24/02/2012,13,56,0,
25/02/2012,12,62,0,
26/02/2012,13,60,0,
27/02/2012,14,62,0,
28/02/2012,13,63,0,
29/02/2012,12,60,0,
01/03/2012,14,60,0,
02/03/2012,13,53,0,
03/03/2012,13,61,0,
04/03/2012,14,67,0,
05/03/2012,16,69,0,
06/03/2012,15,66,0,
07/03/2012,16,65,0,
08/03/2012,15,69,0,
09/03/2012,14,76,0,
10/03/2012,14,58,0,
11/03/2012,16,64,0,
12/03/2012,14,69,0,
13/03/2012,13,63,0,
14/03/2012,15,64,0,
15/03/2012,14,60,0,
16/03/2012,14,58,0,
17/03/2012,14,62,0,
18/03/2012,15,68,0,
19/03/2012,14,57,0,
20/03/2012,14,50,0,
21/03/2012,13,57,0,
22/03/2012,14,69,0,
23/03/2012,14,68,0,
24/03/2012,15,64,0,
25/03/2012,15,60,0,
26/03/2012,14,65,0,
27/03/2012,13,71,0,
28/03/2012,14,73,0,
29/03/2012,14,60,0,
30/03/2012,15,51,0,
31/03/2012,15,49,0,
01/04/2012,14,58,0,
02/04/2012,14,62,0,
03/04/2012,14,57,0,
04/04/2012,14,61,0,
05/04/2012,13,67,0,
06/04/2012,11,53,0,
07/04/2012,11,69,0,
08/04/2012,13,57,0,
09/04/2012,12,63,0,
10/04/2012,13,61,0,
11/04/2012,16,68,1.02,
12/04/2012,15,66,4.06,
13/04/2012,15,57,0,
14/04/2012,15,53,0,
15/04/2012,17,62,0,
16/04/2012,15,63,0,
17/04/2012,16,60,0,
