"timestep","temp","hum","prec","epsilon","mu_A","theta","gamma_V","phi_HV","phi_VH","mu_V_temp","mu_V_hum","c_temp","mu_A_rain"
0,18,0.7273,0,0.051,0.0164,1.4733,0.0434,0.4083,0.3422,0.0191,0.5557,0.721,0
0.0625,18,0.7273,0,0.051,0.0164,1.4733,0.0434,0.4083,0.3422,0.0191,0.5557,0.721,0
0.125,18,0.7273,0,0.051,0.0164,1.4733,0.0434,0.4083,0.3422,0.0191,0.5557,0.721,0
0.1875,18,0.7273,0,0.051,0.0164,1.4733,0.0434,0.4083,0.3422,0.0191,0.5557,0.721,0
0.25,18,0.7273,0,0.051,0.0164,1.4733,0.0434,0.4083,0.3422,0.0191,0.5557,0.721,0
0.3125,18,0.7273,0,0.051,0.0164,1.4733,0.0434,0.4083,0.3422,0.0191,0.5557,0.721,0
0.375,18,0.7273,0,0.051,0.0164,1.4733,0.0434,0.4083,0.3422,0.0191,0.5557,0.721,0
0.4375,18,0.7273,0,0.051,0.0164,1.4733,0.0434,0.4083,0.3422,0.0191,0.5557,0.721,0
0.5,18,0.7273,0,0.051,0.0164,1.4733,0.0434,0.4083,0.3422,0.0191,0.5557,0.721,0
0.5625,18,0.7273,0,0.051,0.0164,1.4733,0.0434,0.4083,0.3422,0.0191,0.5557,0.721,0
0.625,18,0.7273,0,0.051,0.0164,1.4733,0.0434,0.4083,0.3422,0.0191,0.5557,0.721,0
0.6875,18,0.7273,0,0.051,0.0164,1.4733,0.0434,0.4083,0.3422,0.0191,0.5557,0.721,0
0.75,18,0.7273,0,0.051,0.0164,1.4733,0.0434,0.4083,0.3422,0.0191,0.5557,0.721,0
0.8125,18,0.7273,0,0.051,0.0164,1.4733,0.0434,0.4083,0.3422,0.0191,0.5557,0.721,0
0.875,18,0.7273,0,0.051,0.0164,1.4733,0.0434,0.4083,0.3422,0.0191,0.5557,0.721,0
0.9375,18,0.7273,0,0.051,0.0164,1.4733,0.0434,0.4083,0.3422,0.0191,0.5557,0.721,0
1,18,0.7273,0,0.051,0.0164,1.4733,0.0434,0.4083,0.3422,0.0191,0.5557,0.721,0
