Municipality,Parish,Municipality (ID 2),Parish (ID 3),Cases (mean),popden_mean,altitude_mean,fcover_mean,Cropland,Mixed,Vegetation,Urban,Bare,Shores,cmi_all_mean,cmi_jan_mean,cmi_fev_mean,cmi_mar_mean,cmi_abr_mean,cmi_may_mean,cmi_jun_mean,cmi_jul_mean,cmi_ago_mean,cmi_set_mean,cmi_oct_mean,cmi_nov_mean,cmi_dez_mean,hurs_all_mean,hurs_jan_mean,hurs_fev_mean,hurs_mar_mean,hurs_abr_mean,hurs_may_mean,hurs_jun_mean,hurs_jul_mean,hurs_ago_mean,hurs_set_mean,________________october,november,HD,pr_all_mean,pr_jan_mean,pr_fev_mean,pr_mar_mean,pr_abr_mean,pr_may_mean,pr_jun_mean,pr_jul_mean,pr_ago_mean,pr_set_mean,pr_oct_mean,pr_nov_mean,pr_dez_mean,Wall,WJ,WF,WM,WA,WM,WJ,WJ,WA,WS,WO,WN,WD,maxtemp_all_mean,maxtemp_jan_mean,maxtemp_fev_mean,maxtemp_mar_mean,maxtemp_abr_mean,maxtemp_may_mean,maxtemp_jun_mean,maxtemp_jul_mean,maxtemp_ago_mean,maxtemp_set_mean,maxtemp_oct_mean,maxtemp_nov_mean,maxtemp_dez_mean,mintemp_all_mean,mintemp_jan_mean,mintemp_fev_mean,mintemp_mar_mean,mintemp_abr_mean,mintemp_may_mean,mintemp_jun_mean,mintemp_jul_mean,mintemp_ago_mean,mintemp_set_mean,mintemp_oct_mean,mintemp_nov_mean,mintemp_dez_mean,temp_all_mean,temp_jan_mean,temp_fev_mean,temp_mar_mean,temp_abr_mean,temp_may_mean,temp_jun_mean,temp_jul_mean,temp_ago_mean,temp_set_mean,temp_oct_mean,temp_nov_mean,temp_dez_mean
Camara de Lobos,2,181,2532,49.35,1803.178474,339.4545455,0.533333361,0.25,0.151515152,0.151515152,0.378787879,0.007575758,0.060606061,43.35381901,156.1083323,148.7333336,78.0666666,30.97916691,-51.67500067,-108.1874987,-159.1166668,-144.1000004,-24.10833321,119.6124986,196.9875005,276.9458294,0.621052777,0.623137504,0.623912498,0.620770832,0.611750004,0.616533334,0.62181667,0.612116662,0.613816661,0.61839166,0.627216664,0.623370834,0.639800005,165.2163199,230.8208357,235.4124997,193.329167,165.1541665,96.86666648,48.4666667,13.85416663,20.20833325,110.9541667,235.9375,280.3166682,351.2750015,2.535128465,2.793874979,2.730624994,2.823541661,2.645583342,2.440874999,2.184416662,2.420333326,2.274374997,2.098208333,2.405374994,2.684416652,2.91991664,18.97291671,15.48333335,15.45000009,16.19166668,16.64583329,18.21250017,20.77083333,22.88750029,23.72916659,22.87083332,20.5666666,18.32500005,16.54166671,15.56284724,12.92916671,12.49166671,12.85833339,13.24999992,14.56666668,16.63333329,18.27083341,19.2833333,19.1208334,17.60416667,15.67916671,14.06666672,17.13645836,14.25416656,13.95833341,14.40833338,14.84166662,16.21666662,18.46666662,20.23333343,21.15416678,20.7458334,18.99583348,17.00000012,15.36249991
Camara de Lobos,5,181,2533,9.95,65.338904,1102.875,0.404717968,0,0.028089888,0.926966292,0,0.04494382,0,86.68749997,222.2895829,216.6583328,141.2833333,84.45833365,-18.69583342,-98.53541629,-173.4083335,-145.745834,7.625000015,179.4583333,267.370834,357.4916668,0.609919098,0.630493754,0.615475001,0.586525003,0.620310418,0.61838958,0.588597919,0.532189582,0.564272922,0.623343748,0.649393747,0.636304166,0.653733332,205.8090281,290.0916684,296.9479192,247.8520829,208.0375017,122.0270832,63.51666641,20.66458344,29.07916665,136.906251,287.347915,342.6229165,424.6145827,4.686421874,4.934208299,4.886583348,5.079770878,4.880041659,4.590499997,4.30216668,4.797645812,4.470666657,3.987374996,4.374562487,4.801333358,5.132208318,15.64253472,11.15000004,11.31666672,12.47083334,12.64791667,14.71666672,18.83333325,22.43750008,22.31874998,19.57916665,16.45208323,13.81041662,11.97708329,11.85972223,8.310416659,8.027083367,8.752083371,8.891666671,10.6625,14.29166671,17.38958351,17.41458325,15.37708324,13.16458333,10.83749998,9.197916667,13.59982639,9.777083298,9.658333321,10.48541669,10.6291667,12.49791664,16.29166657,19.5270834,19.46249994,17.18541682,14.68750006,12.30833328,10.68749998
Camara de Lobos,4,181,2534,9.95,1108.920925,516.6,0.543636384,0.315789474,0.172932331,0.436090226,0.07518797,0,0,59.94249964,179.4800003,172.4999992,99.20499916,49.92000027,-38.79000034,-101.864999,-158.8349983,-142.1050018,-12.75499994,141.5749996,222.6700005,308.309996,0.644969166,0.651015002,0.644980001,0.63508001,0.637200001,0.643565002,0.647530001,0.628264993,0.634749994,0.645199999,0.656579995,0.645575002,0.669889995,180.5837507,252.7600037,258.070002,212.3400009,181.2049995,106.4900002,53.60499973,15.69999995,22.81999969,121.1049995,256.6949997,305.1600021,381.0550018,3.134099996,3.408700001,3.343699992,3.463150048,3.266299999,3.030450016,2.750849986,3.060049981,2.866649979,2.615700001,2.959600002,3.286899984,3.557149959,18.08249998,14.30500002,14.33000002,15.19500008,15.57999997,17.28500013,20.25999985,22.7750001,23.36999989,22.00500002,19.46999979,17.10999994,15.30500002,14.53624999,11.65500011,11.26000009,11.72000003,12.03999987,13.48999996,15.97000003,18.00500011,18.75499983,18.08999996,16.3849998,14.34499993,12.72000012,16.1704167,13.0349998,12.78500004,13.33499994,13.69500003,15.20500011,17.86499987,20.02000017,20.68999987,19.78000021,17.82500024,15.72000022,14.08999991
Camara de Lobos,3,181,2535,9.95,485.3086366,898.3888889,0.585866698,0.068965517,0.181034483,0.74137931,0.00862069,0,0,82.19629636,212.4777773,205.1555557,128.8611111,76.55555534,-22.72222238,-96.86666573,-164.3722229,-142.9333335,3.066666722,172.1944444,260.3055539,354.6333364,0.636301388,0.653138889,0.635977775,0.61459445,0.637911111,0.64036111,0.627666662,0.583666666,0.607233326,0.64613333,0.663977775,0.648422225,0.676533341,201.5976857,282.5055576,288.5666673,239.25,203.883333,119.3777784,60.30555556,17.98888895,25.63333331,134.4611117,283.9944475,339.0444438,424.1611108,3.337814813,3.611166689,3.54966667,3.681888911,3.488111112,3.246555514,2.951611121,3.262388839,3.060222242,2.791888906,3.148777763,3.489388876,3.772111111,16.57268518,12.36111111,12.47222228,13.5111111,13.76666668,15.69999981,19.37222216,22.5666666,22.73333338,20.50000011,17.58888891,15.05555556,13.24444442,12.88796293,9.600000064,9.266666677,9.894444413,10.09444438,11.74999995,14.93888887,17.61666679,17.93333308,16.42777771,14.38888884,12.19999992,10.54444446,14.58148145,11.03888883,10.86666663,11.57222218,11.79999998,13.52222225,16.89444441,19.70000002,19.92222193,18.17222224,15.88888889,13.61111122,11.98888879
Camara de Lobos,1,181,2536,9.95,393.2180634,494.8333333,0.628000027,0.015384615,0.323076923,0.476923077,0.123076923,0,0.061538462,46.41180485,159.5499973,153.9916674,83.84999975,37.83333329,-47.86666695,-107.9749985,-163.5333341,-148.8916677,-23.79166692,123.7083314,202.9166667,287.1499964,0.6284625,0.632466674,0.628208339,0.622374997,0.620216663,0.62545,0.6306,0.614216665,0.619891668,0.629166653,0.638291672,0.629500002,0.651166673,173.2090279,241.341671,246.2416649,203.5416667,174.1916656,101.8749994,50.90833346,14.35833311,20.57500013,116.2750003,246.5666669,293.5666656,369.0666682,3.486013881,3.84800001,3.76274999,3.890250007,3.651500007,3.370250007,3.004666646,3.294416666,3.099916657,2.874833286,3.307749987,3.69841665,4.02941666,18.35416672,14.70833333,14.68333332,15.49999992,15.89166681,17.55000003,20.39166673,22.78333346,23.45833365,22.24999984,19.8083334,17.50833344,15.7166667,14.91597224,12.12500008,11.70833325,12.14166665,12.4749999,13.875,16.23333327,18.13333352,18.98333343,18.46666654,16.81666676,14.82500005,13.20833341,16.4951389,13.45833325,13.18333348,13.69166668,14.0666666,15.54166667,18.07500013,20.10000006,20.83333349,20.0999999,18.2166667,16.1583333,14.51666657
Calheta,7,182,2537,9.95,225.5511371,702.5769231,0.341481496,0.1,0.190909091,0.6,0.045454545,0,0.063636364,105.736029,248.7147046,238.5117645,162.4647053,101.2911766,-13.04999994,-95.03823538,-164.4676482,-145.9941182,9.873529343,201.6676465,307.4441178,417.4147052,0.614115931,0.623838237,0.616629413,0.601144116,0.61431177,0.616617645,0.605461764,0.572652936,0.588935292,0.620170586,0.637982353,0.628014705,0.643632351,227.8073535,320.7705886,325.3058822,275.9382378,233.7058841,132.8588232,64.7911764,17.52647052,23.44411766,144.2176482,317.0500004,386.9647064,491.1147066,2.72938481,2.816323519,2.820941192,2.955323542,2.872999998,2.732911769,2.583764711,2.809823545,2.591647082,2.305117635,2.518000003,2.775911776,2.969852952,16.80465686,13.16470595,13.10294115,13.93235282,14.10000007,15.79117652,19.01764718,21.81470579,22.19411771,20.52352945,18.10294104,15.81764698,14.09411764,13.99142155,10.98529416,10.61764709,11.11176471,11.30294124,12.83235286,15.72058804,18.12941175,18.62647068,17.48529401,15.61470584,13.53235292,11.93823528,15.29681375,12.08529408,11.82941179,12.42941178,12.62058816,14.19705893,17.19705873,19.72058835,20.15882352,18.81470602,16.78529417,14.64705882,13.07647063
Calheta,6,182,2538,9.95,112.4880557,955.78,0.385826104,0.079889807,0.159779614,0.70523416,0.038567493,0,0.016528926,118.6588331,269.106001,258.8539993,181.8919994,116.2619994,-5.038000095,-93.21199982,-168.53,-145.6760004,19.94799999,219.7820004,328.6179977,441.9000006,0.604226832,0.619612001,0.609727998,0.588263999,0.609186002,0.608819997,0.587995997,0.544814003,0.567287998,0.612553998,0.635824,0.626133996,0.640501999,238.4778338,336.687998,341.5800006,290.9500024,245.0480017,138.9380008,68.73800034,19.41600004,25.45400005,150.3820004,329.9360004,403.3040009,511.2999994,3.32165,3.400859995,3.414739997,3.584260015,3.489760005,3.329220004,3.165299985,3.45934,3.189140007,2.821240013,3.060360007,3.36269999,3.582879977,16.03066663,12.19600004,12.16399992,13.06599987,13.18799999,14.97599993,18.53599995,21.65599983,21.81200012,19.73999996,17.16399998,14.79599998,13.07400003,13.23166665,10.02399998,9.681999979,10.25999995,10.40600008,12.034,15.27999992,18.00200005,18.27599998,16.70199993,14.68199997,12.50200001,10.92999997,14.53066668,11.112,10.90200007,11.56999996,11.70799997,13.386,16.74800005,19.58199997,19.79400002,18.03600002,15.84200005,13.62799999,12.06000004
Calheta,5,182,2539,9.95,122.8561761,722.1290323,0.463407429,0.138248848,0.152073733,0.622119816,0.059907834,0,0.02764977,117.544892,265.6000007,254.5258061,177.4354836,112.9612899,-5.900000069,-91.23225821,-162.8516127,-143.9129043,16.23548388,217.0419336,328.0870937,442.5483881,0.636604837,0.645954836,0.636990322,0.618799994,0.636748387,0.641438709,0.63270645,0.598522588,0.614645158,0.642367734,0.66037419,0.646177421,0.664532256,237.6852146,335.7161284,339.7999976,289.1161287,243.7870971,137.900001,66.71612918,17.69354845,23.05806455,147.7548375,329.7258065,405.964513,514.990323,3.435293011,3.500838726,3.52322583,3.703290309,3.6091613,3.4494516,3.292129024,3.597419331,3.307258075,2.917548399,3.157354847,3.471354838,3.694483849,16.80537633,13.40483869,13.27258064,13.98225803,14.14354841,15.72419339,18.78548376,21.4532259,21.90161299,20.41774196,18.20483878,16.02741931,14.34677416,14.42795698,11.52096776,11.13064517,11.57903225,11.76290321,13.24677424,16.07258049,18.42096766,18.95967748,17.88870978,16.06290316,14.01774191,12.47258066,15.53790321,12.45322572,12.15967747,12.70483872,12.88870971,14.39838717,17.32096777,19.75645139,20.23709666,19.02096779,17.07903225,14.98870963,13.44677418
Calheta,2,182,2540,9.95,97.64086641,759.4634146,0.620969723,0.006024096,0.207831325,0.734939759,0.006024096,0.003012048,0.042168675,109.0835222,253.61818,241.9386357,167.906818,104.2590902,-11.49090911,-94.04999976,-163.1977282,-144.138637,10.01136363,205.2931817,314.5863627,424.265908,0.636772916,0.644065907,0.635849995,0.617204544,0.63892272,0.644511365,0.635338637,0.598854545,0.615193183,0.643652275,0.66063409,0.644872725,0.662175002,227.2751894,321.5863654,324.759089,277.070455,233.129545,131.220455,63.15681856,16.47045452,21.09545452,138.9613632,314.6568198,390.2977281,494.8977245,3.71770265,3.772704553,3.804068175,4.00445451,3.897749977,3.73077275,3.572749994,3.91997728,3.598750006,3.164227274,3.414454569,3.75177274,3.980749976,16.6778409,13.42500006,13.22045456,13.88409094,14.00681816,15.53181811,18.56818182,21.18636335,21.62272731,20.21590913,18.11818186,15.99772722,14.35681824,14.62859848,11.74318177,11.35454544,11.78409087,11.94090908,13.4227273,16.2863636,18.66590916,19.16818203,18.0545454,16.23863632,14.20227261,12.68181818,15.59071967,12.56136355,12.25227271,12.76590913,12.92727275,14.42272726,17.35227273,19.78863629,20.26136359,19.02954535,17.12272737,15.06590906,13.53863629
Calheta,3b,182,2541,0,256.1009115,225.3333333,0.420013011,0.05,0.25,0.05,0.15,0,0.5,67.10833359,191.899999,185.3333333,115.3333308,61.46666718,-38.39999898,-108.1666641,-167.4666646,-157.8333333,-24.63333384,149.5,249.1333364,349.1333313,0.617013885,0.603533328,0.61316667,0.613533318,0.609766662,0.620799998,0.628499985,0.621800005,0.620233337,0.618433317,0.62286667,0.613199989,0.61833334,203.5222218,287.2333272,289.2333272,245.2333374,207.8333333,117.399999,54.63333384,12.89999994,17.20000013,125.0333328,284.9666646,352.4000041,448.200002,3.830138889,3.899333318,3.927999973,4.129666646,4.037333409,3.861666679,3.688666662,4.002666632,3.667999983,3.238333384,3.509333372,3.868333419,4.130333185,18.66666667,15.95000013,15.68333308,16.15000025,16.38333321,17.61666679,19.68333308,21.51666641,22.51666705,22.18333371,20.58333333,18.68333308,17.04999987,16.60000004,14.28333346,13.85000006,14.01666673,14.28333314,15.48333327,17.34999975,18.91666667,20.01666705,20.04999987,18.64999962,16.9166673,15.38333352,17.56388879,15.11666648,14.75,15.01666673,15.28333314,16.48333295,18.41666667,20.0833327,21.11666743,21.01666641,19.54999987,17.75,16.18333308
