"timestep","temp","hum","prec","epsilon","mu_A","theta","gamma_V","phi_HV","phi_VH","mu_V_temp","mu_V_hum","c_temp","c_rain","mu_A_rain","a_rain","gam_V_temp","a_hum"
0,14,0.6559,0,0.0119,0.031,0.2012,0.0298,0.1076,0.0506,0.0291,0.8005,0.503,-0.0135,0.027,-0.0135,-0.9536,-0.0722
0.0625,14,0.6559,0,0.0119,0.031,0.2012,0.0298,0.1076,0.0506,0.0291,0.8005,0.503,-0.0135,0.027,-0.0135,-0.9536,-0.0722
0.125,14,0.6559,0,0.0119,0.031,0.2012,0.0298,0.1076,0.0506,0.0291,0.8005,0.503,-0.0135,0.027,-0.0135,-0.9536,-0.0722
0.1875,14,0.6559,0,0.0119,0.031,0.2012,0.0298,0.1076,0.0506,0.0291,0.8005,0.503,-0.0135,0.027,-0.0135,-0.9536,-0.0722
0.25,14,0.6559,0,0.0119,0.031,0.2012,0.0298,0.1076,0.0506,0.0291,0.8005,0.503,-0.0135,0.027,-0.0135,-0.9536,-0.0722
0.3125,14,0.6559,0,0.0119,0.031,0.2012,0.0298,0.1076,0.0506,0.0291,0.8005,0.503,-0.0135,0.027,-0.0135,-0.9536,-0.0722
0.375,14,0.6559,0,0.0119,0.031,0.2012,0.0298,0.1076,0.0506,0.0291,0.8005,0.503,-0.0135,0.027,-0.0135,-0.9536,-0.0722
0.4375,14,0.6559,0,0.0119,0.031,0.2012,0.0298,0.1076,0.0506,0.0291,0.8005,0.503,-0.0135,0.027,-0.0135,-0.9536,-0.0722
0.5,14,0.6559,0,0.0119,0.031,0.2012,0.0298,0.1076,0.0506,0.0291,0.8005,0.503,-0.0135,0.027,-0.0135,-0.9536,-0.0722
0.5625,14,0.6559,0,0.0119,0.031,0.2012,0.0298,0.1076,0.0506,0.0291,0.8005,0.503,-0.0135,0.027,-0.0135,-0.9536,-0.0722
0.625,14,0.6559,0,0.0119,0.031,0.2012,0.0298,0.1076,0.0506,0.0291,0.8005,0.503,-0.0135,0.027,-0.0135,-0.9536,-0.0722
0.6875,14,0.6559,0,0.0119,0.031,0.2012,0.0298,0.1076,0.0506,0.0291,0.8005,0.503,-0.0135,0.027,-0.0135,-0.9536,-0.0722
0.75,14,0.6559,0,0.0119,0.031,0.2012,0.0298,0.1076,0.0506,0.0291,0.8005,0.503,-0.0135,0.027,-0.0135,-0.9536,-0.0722
0.8125,14,0.6559,0,0.0119,0.031,0.2012,0.0298,0.1076,0.0506,0.0291,0.8005,0.503,-0.0135,0.027,-0.0135,-0.9536,-0.0722
0.875,14,0.6559,0,0.0119,0.031,0.2012,0.0298,0.1076,0.0506,0.0291,0.8005,0.503,-0.0135,0.027,-0.0135,-0.9536,-0.0722
0.9375,14,0.6559,0,0.0119,0.031,0.2012,0.0298,0.1076,0.0506,0.0291,0.8005,0.503,-0.0135,0.027,-0.0135,-0.9536,-0.0722
1,14,0.6559,0,0.0119,0.031,0.2012,0.0298,0.1076,0.0506,0.0291,0.8005,0.503,-0.0135,0.027,-0.0135,-0.9536,-0.0722
1.0625,14.0625,0.6586,0,0.0123,0.0301,0.2112,0.03,0.1119,0.0552,0.0288,0.7978,0.5076,-0.0135,0.027,-0.0135,-0.9519,-0.0695
1.125,14.125,0.6613,0,0.0127,0.0291,0.2215,0.0302,0.1161,0.0597,0.0284,0.7951,0.5122,-0.0135,0.027,-0.0135,-0.95,-0.0668
1.1875,14.1875,0.664,0,0.0131,0.0282,0.2321,0.0304,0.1204,0.0643,0.0281,0.7924,0.5168,-0.0135,0.027,-0.0135,-0.9481,-0.0642
1.25,14.25,0.6667,0,0.0135,0.0274,0.243,0.0305,0.1247,0.0688,0.0277,0.7898,0.5213,-0.0135,0.027,-0.0135,-0.946,-0.0615
1.3125,14.3125,0.6694,0,0.014,0.0265,0.2541,0.0307,0.129,0.0734,0.0274,0.7871,0.5257,-0.0135,0.027,-0.0135,-0.9438,-0.0588
1.375,14.375,0.672,0,0.0144,0.0257,0.2656,0.0309,0.1333,0.0779,0.0271,0.7844,0.5302,-0.0135,0.027,-0.0135,-0.9415,-0.0561
1.4375,14.4375,0.6747,0,0.0148,0.0249,0.2773,0.0311,0.1377,0.0825,0.0267,0.7817,0.5346,-0.0135,0.027,-0.0135,-0.939,-0.0535
1.5,14.5,0.6774,0,0.0153,0.0242,0.2894,0.0313,0.142,0.0871,0.0264,0.7791,0.5389,-0.0135,0.027,-0.0135,-0.9364,-0.0508
1.5625,14.5625,0.6801,0,0.0158,0.0234,0.3017,0.0315,0.1464,0.0916,0.0262,0.7764,0.5432,-0.0135,0.027,-0.0135,-0.9336,-0.0481
1.625,14.625,0.6828,0,0.0162,0.0227,0.3144,0.0316,0.1508,0.0962,0.0259,0.7737,0.5475,-0.0135,0.027,-0.0135,-0.9306,-0.0454
1.6875,14.6875,0.6855,0,0.0167,0.0221,0.3273,0.0318,0.1552,0.1007,0.0256,0.771,0.5517,-0.0135,0.027,-0.0135,-0.9275,-0.0428
1.75,14.75,0.6882,0,0.0172,0.0214,0.3405,0.032,0.1597,0.1053,0.0253,0.7684,0.5559,-0.0135,0.027,-0.0135,-0.9241,-0.0401
1.8125,14.8125,0.6909,0,0.0177,0.0208,0.3541,0.0322,0.1641,0.1098,0.0251,0.7657,0.56,-0.0135,0.027,-0.0135,-0.9205,-0.0374
1.875,14.875,0.6935,0,0.0182,0.0202,0.3679,0.0324,0.1686,0.1144,0.0248,0.763,0.5641,-0.0135,0.027,-0.0135,-0.9166,-0.0347
1.9375,14.9375,0.6962,0,0.0187,0.0197,0.3821,0.0326,0.1731,0.1189,0.0246,0.7603,0.5682,-0.0135,0.027,-0.0135,-0.9125,-0.032
2,15,0.6989,0,0.0192,0.0191,0.3966,0.0328,0.1776,0.1235,0.0243,0.7576,0.5722,-0.0135,0.027,-0.0135,-0.908,-0.0293
2.0625,15.0625,0.6989,0,0.0197,0.0186,0.4113,0.033,0.1821,0.1281,0.0241,0.7576,0.5762,-0.0135,0.027,-0.0135,-0.9033,-0.0293
2.125,15.125,0.6989,0,0.0202,0.0181,0.4264,0.0332,0.1867,0.1326,0.0239,0.7576,0.5802,-0.0135,0.027,-0.0135,-0.8982,-0.0293
2.1875,15.1875,0.6989,0,0.0208,0.0177,0.4418,0.0334,0.1912,0.1372,0.0237,0.7576,0.5841,-0.0135,0.027,-0.0135,-0.8926,-0.0293
2.25,15.25,0.6989,0,0.0213,0.0172,0.4576,0.0336,0.1958,0.1417,0.0235,0.7576,0.5879,-0.0135,0.027,-0.0135,-0.8867,-0.0293
2.3125,15.3125,0.6989,0,0.0218,0.0168,0.4736,0.0338,0.2004,0.1463,0.0233,0.7576,0.5917,-0.0135,0.027,-0.0135,-0.8803,-0.0293
2.375,15.375,0.6989,0,0.0224,0.0164,0.49,0.034,0.205,0.1508,0.0231,0.7576,0.5955,-0.0135,0.027,-0.0135,-0.8733,-0.0293
2.4375,15.4375,0.6989,0,0.023,0.016,0.5066,0.0342,0.2096,0.1554,0.0229,0.7576,0.5993,-0.0135,0.027,-0.0135,-0.8658,-0.0293
2.5,15.5,0.6989,0,0.0235,0.0157,0.5236,0.0344,0.2142,0.16,0.0227,0.7576,0.603,-0.0135,0.027,-0.0135,-0.8576,-0.0293
2.5625,15.5625,0.6989,0,0.0241,0.0154,0.541,0.0346,0.2188,0.1645,0.0225,0.7576,0.6067,-0.0135,0.027,-0.0135,-0.8488,-0.0293
2.625,15.625,0.6989,0,0.0247,0.0151,0.5586,0.0348,0.2235,0.1691,0.0224,0.7576,0.6103,-0.0135,0.027,-0.0135,-0.8391,-0.0293
2.6875,15.6875,0.6989,0,0.0253,0.0148,0.5766,0.035,0.2282,0.1736,0.0222,0.7576,0.6139,-0.0135,0.027,-0.0135,-0.8286,-0.0293
2.75,15.75,0.6989,0,0.0259,0.0145,0.5949,0.0352,0.2328,0.1782,0.022,0.7576,0.6174,-0.0135,0.027,-0.0135,-0.8172,-0.0293
2.8125,15.8125,0.6989,0,0.0265,0.0143,0.6135,0.0354,0.2375,0.1827,0.0219,0.7576,0.621,-0.0135,0.027,-0.0135,-0.8046,-0.0293
2.875,15.875,0.6989,0,0.0271,0.0141,0.6324,0.0356,0.2422,0.1873,0.0217,0.7576,0.6244,-0.0135,0.027,-0.0135,-0.791,-0.0293
2.9375,15.9375,0.6989,0,0.0277,0.0139,0.6517,0.0358,0.247,0.1918,0.0216,0.7576,0.6279,-0.0135,0.027,-0.0135,-0.776,-0.0293
3,16,0.6989,0,0.0283,0.0137,0.6713,0.036,0.2517,0.1964,0.0215,0.7576,0.6313,-0.0135,0.027,-0.0135,-0.7595,-0.0293
3.0625,16.0625,0.6989,0,0.0289,0.0135,0.6912,0.0362,0.2565,0.201,0.0213,0.7576,0.6346,-0.0135,0.027,-0.0135,-0.7415,-0.0293
3.125,16.125,0.6989,0,0.0296,0.0134,0.7115,0.0364,0.2612,0.2055,0.0212,0.7576,0.638,-0.0135,0.027,-0.0135,-0.7217,-0.0293
3.1875,16.1875,0.6989,0,0.0302,0.0133,0.7321,0.0367,0.266,0.2101,0.0211,0.7576,0.6413,-0.0135,0.027,-0.0135,-0.7,-0.0293
3.25,16.25,0.6989,0,0.0308,0.0132,0.753,0.0369,0.2708,0.2146,0.021,0.7576,0.6445,-0.0135,0.027,-0.0135,-0.6761,-0.0293
3.3125,16.3125,0.6989,0,0.0315,0.0131,0.7742,0.0371,0.2756,0.2192,0.0209,0.7576,0.6477,-0.0135,0.027,-0.0135,-0.6499,-0.0293
3.375,16.375,0.6989,0,0.0321,0.013,0.7958,0.0373,0.2804,0.2237,0.0208,0.7576,0.6509,-0.0135,0.027,-0.0135,-0.6212,-0.0293
3.4375,15.5625,0.6933,0,0.0241,0.0154,0.541,0.0346,0.2188,0.1645,0.0225,0.7632,0.6067,-0.0135,0.027,-0.0135,-0.8488,-0.0349
3.5,15.5804,0.6938,0,0.0243,0.0153,0.546,0.0346,0.2202,0.1658,0.0225,0.7627,0.6077,-0.0135,0.027,-0.0135,-0.8461,-0.0345
