"time","SH","EH","IH","RH","AV","SV","EV","IV","Inc","IncCS","R0","Vls","EIC"
0,270000,0,0,0,1753862,0,0,0,0,0,0,0,0
0.0625,270000,0,0,0,1746685.38547043,1296.57362299028,0,0,0,0,5.74523556527952e-07,0.473896091199397,0.819505775143739
0.125,270000,0,0,0,1739538.17019587,2577.52278248724,0,0,0,0,2.24224801283379e-06,0.91908027341566,1.58936021181046
0.1875,270000,0,0,0,1732420.26642578,3842.99357488214,0,0,0,0,4.9233278194873e-06,1.33729211304903,2.31257153213517
0.25,270000,0,0,0,1725331.58597532,5093.13086866319,0,0,0,0,8.54288236256672e-06,1.73016578151321,2.99196569931101
0.3125,270000,0,0,0,1718272.04024021,6328.0783138719,0,0,0,0,1.30306940828281e-05,2.09923644079395,3.63019746009887
0.375,270000,0,0,0,1711241.54021134,7547.978351495,0,0,0,0,1.83209248931564e-05,2.44594624212629,4.22976071830528
0.4375,270000,0,0,0,1704239.99648914,8752.9722227924,0,0,0,0,2.43518497856048e-05,2.77164996123031,4.79299827976309
0.5,270000,0,0,0,1697267.31929768,9943.19997856146,0,0,0,0,3.10656065865026e-05,3.07762029212529,5.32211100689376
0.5625,270000,0,0,0,1690323.41849864,11118.8004883379,0,0,0,0,3.84079608812138e-05,3.36505282020793,5.81916641862277
0.625,270000,0,0,0,1683408.20360498,12279.9114495337,0,0,0,0,4.63280851894089e-05,3.63507069402698,6.2861067692526
0.6875,270000,0,0,0,1676521.5837944,13426.6693965125,0,0,0,0,5.47783515273997e-05,3.88872901400948,6.72475663786155
0.75,270000,0,0,0,1669663.4679226,14559.2097096022,0,0,0,0,6.37141365464014e-05,4.12701895528744,7.1368300578843
0.8125,270000,0,0,0,1662833.76453634,15677.6666240463,0,0,0,0,7.30936384847312e-05,4.35087164073521,7.52393721473296
0.875,270000,0,0,0,1656032.38188624,16782.173238893,0,0,0,0,8.28777052181183e-05,4.56116177935138,7.88759073762985
0.9375,270000,0,0,0,1649259.22793941,17872.861525823,0,0,0,0,9.30296727356726e-05,4.75871108420225,8.22921161023756
1,270000,0,0,0,1642514.21039186,18949.8623379167,0,0,0,0,0.000103515213409797,4.94429148328265,8.5501347231819
1.0625,270000,0,0,0,1635817.03048329,20020.461546414,0,0,0,0,0.000114794463220321,5.11968189192529,8.85067477662117
1.125,270000,0,0,0,1629268.88914453,21120.4599599129,0,0,0,0,0.000129373416799285,5.29089234773187,9.12755510048919
1.1875,270000,0,0,0,1622880.03153834,22250.033848597,0,0,0,0,0.000147755762618871,5.45944125000488,9.38228128213933
1.25,270000,0,0,0,1616631.39638894,23408.6127447823,0,0,0,0,0.000170401609988514,5.62454809959904,9.61671614838269
1.3125,270000,0,0,0,1610508.37485865,24598.0987263127,0,0,0,0,0.000197923677850186,5.78773005079995,9.83386946316988
1.375,270000,0,0,0,1604514.75100655,25824.4459811661,0,0,0,0,0.000230886447989729,5.94783056569615,10.0326614648599
1.4375,270000,0,0,0,1598643.30411309,27079.1781094095,0,0,0,0,0.000270005475955491,6.10552965981785,10.214271909586
1.5,270000,0,0,0,1592888.47571609,28364.3004327943,0,0,0,0,0.000316364890304224,6.26242101534524,10.3798077786806
1.5625,270000,0,0,0,1587229.61225246,29687.1457661494,0,0,0,0,0.000370415556897081,6.41675093265418,10.5303077209917
1.625,270000,0,0,0,1581679.08965131,31045.2640509499,0,0,0,0,0.000432728691592286,6.56752732955723,10.6671653772148
1.6875,270000,0,0,0,1576225.61684392,32432.5253284525,0,0,0,0,0.000504641790702453,6.71680922555034,10.7928639806332
1.75,270000,0,0,0,1570849.01679094,33856.9478530127,0,0,0,0,0.000587362739107634,6.86486321970725,10.9060968024944
1.8125,270000,0,0,0,1565560.17093351,35318.1246930397,0,0,0,0,0.000682096437187781,7.01153048649399,11.0076796682692
1.875,270000,0,0,0,1560344.49514613,36815.2079326458,0,0,0,0,0.000789475213628156,7.15563668270552,11.0983778477617
1.9375,270000,0,0,0,1555198.84233429,38348.5813152519,0,0,0,0,0.000911644771728802,7.29896305147938,11.1789091459284
2,270000,0,0,0,1550111.74834848,39917.3418095128,0,0,0,0,0.0010493262119705,7.44019824242109,11.2499468055812
2.0625,270000,0,0,0,1545094.21525134,41521.8351498994,0,0,0,0,0.00120491920128114,7.58091150643198,11.312122233404
2.125,270000,0,0,0,1540132.11269287,43160.3740355011,0,0,0,0,0.00137816150754454,7.71801514412924,11.3660275600171
2.1875,270000,0,0,0,1535221.01092385,44834.2736679508,0,0,0,0,0.00157059005168043,7.8518102448086,11.4122180441726
2.25,270000,0,0,0,1530343.49280248,46549.5813296962,0,0,0,0,0.00178396760301203,7.98258174470758,11.4512143305516
2.3125,270000,0,0,0,1525518.71335238,48297.9954752228,0,0,0,0,0.00202009949781517,8.11059947689307,11.48350457006
2.375,270000,0,0,0,1520731.39988157,50080.8382516824,0,0,0,0,0.00228106567266108,8.23611916060096,11.5095464109776
2.4375,270000,0,0,0,1515973.88766629,51905.7046533921,0,0,0,0,0.0025687922708324,8.35938333385548,11.5297688688106
2.5,270000,0,0,0,1511245.34398235,53770.6437710818,0,0,0,0,0.00288578064293597,8.48062223297395,11.5445740822185
2.5625,270000,0,0,0,1506538.81960735,55669.0401530903,0,0,0,0,0.00323433391480681,8.60005462235419,11.5543389619401
2.625,270000,0,0,0,1501846.96843321,57608.172318357,0,0,0,0,0.00361609108856108,8.71739457097366,11.559416739224
2.6875,270000,0,0,0,1497170.34523857,59586.6404236995,0,0,0,0,0.00403138309654636,8.83097587424519,11.5601384198708
2.75,270000,0,0,0,1492509.5689632,61605.3321063411,0,0,0,0,0.0044861794575424,8.9434661935094,11.5568141496269
2.8125,270000,0,0,0,1487862.58626979,63663.6223773157,0,0,0,0,0.00498262507963261,9.05452020499172,11.5497344963189
